17,15,Index_142,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site142_X_330_Y_290_1981_2021.csv
0,16,Index_143,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site143_X_10_Y_317_1981_2021.csv
1,16,Index_144,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site144_X_37_Y_317_1981_2021.csv
3,16,Index_145,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site145_X_64_Y_317_1981_2021.csv
4,16,Index_146,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site146_X_90_Y_317_1981_2021.csv
6,16,Index_147,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site147_X_117_Y_317_1981_2021.csv
7,16,Index_148,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site148_X_144_Y_317_1981_2021.csv
8,16,Index_149,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site149_X_170_Y_317_1981_2021.csv
10,16,Index_150,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site150_X_197_Y_317_1981_2021.csv
11,16,Index_151,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site151_X_224_Y_317_1981_2021.csv
13,16,Index_152,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site152_X_250_Y_317_1981_2021.csv
14,16,Index_153,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site153_X_277_Y_317_1981_2021.csv
16,16,Index_154,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site154_X_304_Y_317_1981_2021.csv
17,16,Index_155,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site155_X_330_Y_317_1981_2021.csv
0,18,Index_156,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site156_X_10_Y_344_1981_2021.csv
1,18,Index_157,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site157_X_37_Y_344_1981_2021.csv
3,18,Index_158,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site158_X_64_Y_344_1981_2021.csv
4,18,Index_159,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site159_X_90_Y_344_1981_2021.csv
6,18,Index_160,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site160_X_117_Y_344_1981_2021.csv
7,18,Index_161,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site161_X_144_Y_344_1981_2021.csv
8,18,Index_162,m_2_Weather\2_SpatialModel\Big_Beef_30m_800m_Historic__PRISM_1981_2021\Site162_X_170_Y_344_1981_2021.csv
